timestamp,scenario,upf_replicas,smf_replicas,pdu_sessions,pdu_requests,upf_throughput,cpu_smf_mc,cpu_upf_mc
14:07:06,20ues,4.0,5.0,26.0,1.2,134.4,36.027,1.422
14:07:11,20ues,4.0,5.0,27.0,1.2,144.667,33.051,2.063
14:07:17,20ues,4.0,5.0,27.0,1.2,148.4,39.142,1.838
14:07:22,20ues,4.0,5.0,27.0,1.2,148.4,31.962,2.114
14:07:27,20ues,4.0,5.0,28.0,2.4,1221326.0,29.137,2.221
14:07:32,20ues,4.0,5.0,28.0,1.2,1221326.0,41.702,2.433
14:07:37,20ues,4.0,5.0,28.0,1.2,1221326.0,41.432,2.362
14:07:42,20ues,4.0,5.0,29.0,2.4,1414583.6,43.921,2.233
14:07:47,20ues,4.0,5.0,29.0,2.4,1414583.6,42.522,2.219
14:07:52,20ues,4.0,5.0,29.0,1.2,1414591.067,43.508,2.295
14:07:58,20ues,4.0,5.0,30.0,1.2,1413614.4,46.51,1.929
14:08:03,20ues,4.0,5.0,30.0,2.4,1413614.4,37.684,2.752
14:08:08,20ues,4.0,5.0,30.0,2.4,1413610.667,25.188,2.676
14:08:13,20ues,4.0,5.0,31.0,2.4,1394322.4,50.731,2.6
14:08:18,20ues,4.0,5.0,31.0,2.4,1394322.4,43.862,2.118
14:08:23,20ues,4.0,5.0,31.0,1.2,1394322.4,51.497,2.691
14:08:28,20ues,4.0,5.0,31.0,0.0,1239984.0,52.044,2.436
14:08:33,20ues,4.0,5.0,31.0,1.2,1239984.0,45.545,2.508
14:08:38,20ues,4.0,5.0,31.0,1.2,1239984.0,44.616,2.584
14:08:43,20ues,4.0,5.0,33.0,2.4,1227570.133,53.876,2.498
14:08:49,20ues,4.0,5.0,33.0,2.4,1227570.133,51.219,1.582
14:08:54,20ues,4.0,5.0,33.0,2.4,1227570.133,41.814,2.187
14:08:59,20ues,4.0,5.0,34.0,2.4,1414035.2,37.623,1.842
14:09:04,20ues,4.0,5.0,34.0,3.6,1414035.2,47.154,2.05
