timestamp,scenario,upf_replicas,smf_replicas,pdu_sessions,pdu_requests,upf_throughput,cpu_smf_mc,cpu_upf_mc
01:20:18,4ues,4.0,4.0,0.0,0.0,0.0,0.514,1.289
01:20:23,4ues,4.0,4.0,0.0,0.0,7.467,0.583,1.39
01:20:28,4ues,4.0,4.0,0.0,0.0,7.467,0.667,1.25
01:20:33,4ues,4.0,4.0,0.0,0.0,502665.2,0.918,1.491
01:20:38,4ues,4.0,4.0,0.0,0.0,502657.733,1.086,1.437
01:20:44,4ues,4.0,4.0,0.0,0.0,502657.733,0.911,1.907
01:20:49,4ues,4.0,4.0,0.0,0.0,626080.533,0.779,1.739
01:20:54,4ues,4.0,4.0,0.0,0.0,626080.533,0.294,1.899
01:20:59,4ues,4.0,4.0,0.0,0.0,626080.533,0.0,2.272
01:21:04,4ues,4.0,4.0,0.0,0.0,625874.8,0.0,2.272
01:21:09,4ues,4.0,4.0,0.0,0.0,625874.8,0.304,2.325
01:21:14,4ues,4.0,4.0,0.0,0.0,625874.8,0.407,2.076
01:21:19,4ues,4.0,4.0,0.0,0.0,626505.067,0.469,2.185
01:21:24,4ues,4.0,4.0,0.0,0.0,626505.067,0.495,2.094
01:21:29,4ues,4.0,4.0,0.0,0.0,626505.067,1.105,2.261
01:21:34,4ues,4.0,4.0,0.0,0.0,625868.267,1.194,2.394
01:21:40,4ues,4.0,4.0,0.0,0.0,625868.267,1.018,2.442
01:21:45,4ues,4.0,4.0,0.0,0.0,625868.267,1.087,2.418
01:21:50,4ues,4.0,4.0,0.0,0.0,625773.333,1.072,2.502
01:21:55,4ues,4.0,4.0,0.0,0.0,625782.667,0.381,2.123
01:22:00,4ues,4.0,4.0,0.0,0.0,625782.667,0.0,2.337
01:22:05,4ues,4.0,4.0,0.0,0.0,625983.733,0.0,2.377
01:22:10,4ues,4.0,4.0,0.0,0.0,625974.4,0.421,2.253
01:22:15,4ues,4.0,4.0,0.0,0.0,625974.4,0.48,1.896
